utc,tweetid,user,text
2020-05-06T03:03:10.000Z,1257868480629534722,sy_com57,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T03:02:27.000Z,1257868299552960515,yukimura_char,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T03:01:15.000Z,1257867997969973248,bokumato,小池百合子の「五輪ファースト」での失敗 7月5日に控えた都知事選に向けてのアピールは間に合うのか？#小池百合子#僕のまとめ #RT #リツイート #拡散希望https://t.co/eZsd2K4ead
2020-05-06T02:58:10.000Z,1257867221524598784,masasan04270,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T02:54:52.000Z,1257866393619329024,cwqdb646,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
2020-05-06T02:54:44.000Z,1257866356751577090,miki_tarou0624,RT @kazgrease : 何だかんだの批判もあるが、動くのは立派。本来であれば、まずは国が動くべきなのだが…。あまりにも地方公共団体の首長に頼ってばかりのような気がする。ならば、金をドバっと渡して、権限移譲すればいい。それの方が国民のためになる😡#東京都#小池百合子 #緊急事態宣言https://t.co/W2i7tuSRXv
2020-05-06T02:53:43.000Z,1257866101033103361,forwardsoft_01,RT @modelpress : 東京都、学生への新たな支援策発表「希望を失っていただきたくない」#小池都知事 #小池百合子▼記事詳細はこちらhttps://t.co/drZQr7Hn4Z
2020-05-06T02:53:16.000Z,1257865990164983808,fuji_kawasaki,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T02:52:08.000Z,1257865705711472644,aoitori2011,小池って、とにかく表と裏の顔が違い過ぎる。公約を実行していなかったり、言動の矛盾を質されるとその記者は徹底して無視する。厚化粧をとれば、醜い素顔。#小池百合子 https://t.co/dZ2xmRTghr
2020-05-06T02:51:38.000Z,1257865576669605888,himanekotop10,RT @the8hours : 3月31日、#小池百合子 都知事は22年度中に都立・公社病院を地方独立行政法人化する方針を盛り込んだ、「新たな病院運営改革ビジョン～大都市東京を医療で支え続けるために～」を発表しました。ところで『都立・公社病院を地方独立行政法人化する』と言われてピンとくる人は、どれくらいいますか？
2020-05-06T02:48:53.000Z,1257864885636980737,hinsu117okinawa,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T02:48:40.000Z,1257864831387832320,OAxED9JdFilJiPB,アルバイト収入がなくなった大学生に給付金の事務作業アルバイトを提供する、一石二鳥ですね。他の地域にも同様の取り組みが広がってほしいです。#小池百合子 #10万円給付 https://t.co/lA8EwmlEW3
2020-05-06T02:47:11.000Z,1257864458644287488,s1oGaL3bGHjl2my,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:47:11.000Z,1257864458283528193,SQ38108374,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
2020-05-06T02:46:48.000Z,1257864361403576320,SQ38108374,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
